date,predicted_ret_t1,actual_ret_t1,position,strategy_daily_ret,strategy_equity,buyhold_equity,model
2021-04-01,0.011845708,0.0199648159796757,1.0,0.0199648159796757,1.0199648159796757,1.0199648159796757,mohamed_v2_tuned
2021-04-05,-0.010507226,-0.0006947001275644515,0.0,-0.0,1.0199648159796757,1.0192562462919033,mohamed_v2_tuned
2021-04-06,0.014849007,0.002418196527590011,1.0,0.002418196527590011,1.0224312913559417,1.0217210082074109,mohamed_v2_tuned
2021-04-07,0.015188336,0.010433603238717337,1.0,0.010433603238717337,1.033098933788799,1.0323812398277092,mohamed_v2_tuned
2021-04-08,0.0065794587,0.006058251344889243,1.0,0.006058251344889243,1.0393577067938287,1.0386356648623338,mohamed_v2_tuned
2021-04-09,0.0057581663,-0.0013051287204360884,1.0,-0.0013051287204360884,1.0380012111998855,1.0372801116260528,mohamed_v2_tuned
2021-04-12,-0.0056803823,0.01167312953051236,0.0,0.0,1.0380012111998855,1.0493884167284881,mohamed_v2_tuned
2021-04-13,-0.00033807755,-0.012008209819724946,0.0,-0.0,1.0380012111998855,1.0367871404380236,mohamed_v2_tuned
2021-04-14,-0.00016325712,0.015155494451679408,0.0,0.0,1.0380012111998855,1.0525001621925045,mohamed_v2_tuned
2021-04-15,-0.0034036338,0.0011709974275220247,0.0,0.0,1.0380012111998855,1.0537326371748985,mohamed_v2_tuned
2021-04-16,-0.003148973,-0.009151793203238223,0.0,-0.0,1.0380012111998855,1.044089093987971,mohamed_v2_tuned
2021-04-19,-0.010815501,-0.0072887192667424605,0.0,-0.0,1.0380012111998855,1.0364790216924251,mohamed_v2_tuned
2021-04-20,0.000901103,0.008560996556170153,1.0,0.008560996556170153,1.0468875359942682,1.0453523150276767,mohamed_v2_tuned
2021-04-21,0.00095164776,-0.012054573476628305,1.0,-0.012054573476628305,1.034267753269859,1.032751038737212,mohamed_v2_tuned
2021-04-22,0.0013418198,0.012589501989924479,1.0,0.012589501989924479,1.0472886692077645,1.0457528599944907,mohamed_v2_tuned
2021-04-23,-0.0012311339,0.006511081750188774,0.0,0.0,1.0472886692077645,1.0525618423564085,mohamed_v2_tuned
