epoch,train_loss,val_loss,seconds
1,0.003267033098264671,0.0012415854047000219,0.8614010810852051
2,0.0008756252697111634,0.0016407170565058166,0.8622784614562988
3,0.0008525865184054836,0.0018370159956491291,0.8838305473327637
4,0.0008637467373774526,0.0016374647091927988,0.92330002784729
5,0.0008684643699191193,0.0011645747514832706,0.8701674938201904
6,0.0008809290445792923,0.0011825097822569398,0.9360110759735107
7,0.0008522956750288969,0.000851837911619385,0.8396415710449219
8,0.000856997973691769,0.0011577078113865704,0.9720432758331299
9,0.0008439852976803772,0.001685479409451481,0.9559023380279541
10,0.0008547936873416125,0.0008581740380939361,1.0539333820343018
11,0.0008291120032266069,0.0013380996988590487,0.9839785099029541
12,0.0008350262812587736,0.0007932183585447691,1.0357303619384766
13,0.0008442880838134566,0.001160208309416917,0.956547737121582
14,0.000817026024485522,0.0010597664659915931,0.9616310596466064
15,0.0008354216795197027,0.0010418249417613887,0.9842665195465088
16,0.0008446821043367132,0.0008217848390232167,1.0142738819122314
17,0.0008098336694102272,0.001239477835293397,1.0394465923309326
18,0.0008106523004522187,0.0011953662562185024,1.045194149017334
19,0.0008277356025344479,0.0008133810533512846,0.96746826171875
20,0.0008448055893093332,0.000819635111715127,0.9484913349151611
