epoch,train_loss,val_loss,epoch_seconds,improved
1,13.59387383903549,2.9331856797886804,3.0548479557037354,1
2,2.552651492475286,1.8988087915539869,3.1966044902801514,1
3,2.130885823304807,1.6145899710447893,4.168574810028076,1
4,1.9911812069825185,1.6713683013572167,3.510732412338257,0
5,1.8634513018735381,1.4825339661170418,3.6356537342071533,1
6,1.902278427321309,1.4624166266157164,2.9297776222229004,1
7,1.80911937703107,1.6839155343026397,3.0038907527923584,0
8,1.8573487158920363,1.5269565372426588,3.0989670753479004,0
9,1.8312171143059235,1.637941787629719,3.157763957977295,0
10,1.8155165582368107,1.3888478628019008,3.6024999618530273,1
11,1.7352869898566918,1.454881395919452,3.0329275131225586,0
12,1.865135610048836,1.4104404095501055,3.119541883468628,0
13,1.8037009374344455,1.5489717010222968,3.174838066101074,0
14,1.8256755393454598,1.4557792165752181,4.34487247467041,0
15,1.734480475546874,1.8430348165720416,3.5203492641448975,0
16,1.7507659843426422,1.6197120175002615,4.406014680862427,0
17,1.858009348881264,1.818355700623319,5.070503234863281,0
18,1.7841422833603278,3.030409958557258,5.037835121154785,0
