model,horizon,mse,mae,directional_accuracy,n
baseline,t+1,0.0010144398547708988,0.02397051267325878,0.5420660276890309,939
baseline,t+3,0.0007592122419737279,0.020874612033367157,0.5228966986155484,939
baseline,t+5,0.001334976521320641,0.028654316440224648,0.5527156549520766,939
