model,n_days,total_return,buyhold_total_return,ann_return,ann_vol,sharpe_ann,max_drawdown,exposure_frac,n_trades
buy_and_hold,939,0.6328065132748661,0.6328065132748661,0.15653508229919127,0.22310762459435943,0.7016124284582105,-0.35617215180846795,1.0,0
mohamed_v1_long_flat,939,0.562321909031547,0.6328065132748661,0.13090678855368912,0.14930174537551233,0.8767934241119713,-0.1551489443572226,0.576144814491272,152
mohamed_v2_long_flat,939,0.4709760067013218,0.6328065132748661,0.11186685048711154,0.12861379237385095,0.869788911611751,-0.20033015944097665,0.5207667946815491,176
mohamed_v3_reg_long_flat,939,0.524693675954679,0.6328065132748661,0.1330660280363825,0.19909724219327846,0.6683469171672677,-0.3585870455312409,0.7923322916030884,84
mohamed_v3_cls_long_flat,939,0.6328065132748661,0.6328065132748661,0.15653508229919127,0.22310762459435943,0.7016124284582105,-0.35617215180846795,1.0,0
