threshold,val_sharpe,val_total_return,val_exposure,test_sharpe,test_total_return,test_exposure
0.3,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.31,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.32,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.32999999999999996,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.33999999999999997,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.35,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.36,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.37,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.38,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.38999999999999996,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.39999999999999997,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.41,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.42,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.42999999999999994,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.43999999999999995,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.44999999999999996,1.0682808474402143,1.3832146376813523,1.0,0.7016124284582106,0.6328065132748661,1.0
0.45999999999999996,1.0066654175642789,1.230980745956681,0.9978790879249573,0.7071835315514055,0.6382744237156186,0.9968051314353943
0.47,1.132728205619877,1.2465691008265205,0.9787911176681519,0.4519218779139157,0.3017221670421397,0.9254525899887085
0.48,1.1078695592299026,1.0859265526295045,0.9374337196350098,0.6908011011342726,0.4987336527999555,0.8445154428482056
0.49,1.1734925275866677,0.9847137806267008,0.8345705270767212,0.6767683061609123,0.42789599886129137,0.7401490807533264
0.49999999999999994,0.9557711750190072,0.5717534141446841,0.6023330092430115,0.869788911611751,0.4709760067013218,0.5207667946815491
0.51,0.4901276994405502,0.16530966532744906,0.29798516631126404,0.9260838297358589,0.3880217380400648,0.2758253514766693
0.52,-0.23146286501720328,-0.01805437059078685,0.002120890887454152,0.027913034152558587,0.0007133568063855122,0.00319488812237978
0.5299999999999999,,0.0,0.0,,0.0,0.0
0.5399999999999999,,0.0,0.0,,0.0,0.0
0.5499999999999999,,0.0,0.0,,0.0,0.0
0.5599999999999999,,0.0,0.0,,0.0,0.0
0.57,,0.0,0.0,,0.0,0.0
0.58,,0.0,0.0,,0.0,0.0
0.59,,0.0,0.0,,0.0,0.0
0.5999999999999999,,0.0,0.0,,0.0,0.0
0.6099999999999999,,0.0,0.0,,0.0,0.0
0.6199999999999999,,0.0,0.0,,0.0,0.0
0.6299999999999999,,0.0,0.0,,0.0,0.0
0.6399999999999999,,0.0,0.0,,0.0,0.0
0.6499999999999999,,0.0,0.0,,0.0,0.0
0.6599999999999999,,0.0,0.0,,0.0,0.0
0.6699999999999999,,0.0,0.0,,0.0,0.0
0.6799999999999999,,0.0,0.0,,0.0,0.0
0.69,,0.0,0.0,,0.0,0.0
0.7,,0.0,0.0,,0.0,0.0
