horizon,n,baseline_correct,mohamed_correct,mohamed_diracc,mohamed_minus_baseline_pp,p_vs_random_one_sided,mcnemar_mohamed_only,mcnemar_baseline_only,p_mcnemar_b_beats_a
t+1,939,509,466,0.49627263045793396,-4.579339723109693,0.6029724500173399,171,214,0.987597022195713
t+3,939,491,535,0.56975505857295,4.685835995740151,1.074430056400107e-05,251,207,0.022195960528785606
t+5,939,519,546,0.5814696485623003,2.8753993610223683,3.3334573442256635e-07,142,115,0.05232744795408443
