model,horizon,mse,mae,directional_accuracy,n
mohamed_v3_reg,t+1,0.00022230634931474924,0.011280450038611889,0.5271565495207667,939
mohamed_v3_reg,t+3,0.0007836541044525802,0.022419802844524384,0.4643237486687966,939
mohamed_v3_reg,t+5,0.0012202512007206678,0.027796078473329544,0.4355697550585729,939
