horizon,v1_mse,v2_mse,v3_mse,v1_diracc,v2_diracc,v3_diracc_reg,v3_diracc_cls,best_v3_diracc,best_v3_minus_v1_pp,best_v3_minus_v2_pp
t+1,0.0002732644206844,0.0002076436794595,0.00022230634931474924,0.4962726304579339,0.5239616613418531,0.5271565495207667,0.5452609158679447,0.5452609158679447,4.898828541001077,2.1299254526091604
t+3,0.0007017191965132,0.000640530954115,0.0007836541044525802,0.56975505857295,0.5548455804046858,0.4643237486687966,0.5548455804046858,0.5548455804046858,-1.4909478168264156,0.0
t+5,0.000998007832095,0.0011557163670659,0.0012202512007206678,0.5814696485623003,0.582534611288605,0.4355697550585729,0.4174653887113951,0.4355697550585729,-14.58998935037274,-14.696485623003202
