model,horizon,mse,mae,directional_accuracy,n
mohamed,t+1,0.000273264420684427,0.01267970446497202,0.49627263045793396,939
mohamed,t+3,0.0007017191965132952,0.020635951310396194,0.56975505857295,939
mohamed,t+5,0.000998007832095027,0.024150656536221504,0.5814696485623003,939
