,directional_accuracy,directional_accuracy,mae,mae,mse,mse
model,baseline,mohamed,baseline,mohamed,baseline,mohamed
horizon,,,,,,
t+1,0.5420660276890309,0.49627263045793396,0.02397051267325878,0.01267970446497202,0.0010144398547708988,0.000273264420684427
t+3,0.5228966986155484,0.56975505857295,0.020874612033367157,0.020635951310396194,0.0007592122419737279,0.0007017191965132952
t+5,0.5527156549520766,0.5814696485623003,0.028654316440224648,0.024150656536221504,0.001334976521320641,0.000998007832095027
