model,horizon,price_mse,price_mae,price_rmse,n
persistence,t+1,24.47000650062174,3.750298090763113,4.946716739476978,939
persistence,t+3,72.39699707784682,6.615548845805046,8.50864249324455,939
persistence,t+5,114.70079699175136,8.488498220555444,10.709845796824125,939
baseline,t+1,124.51491373986106,8.673402398376629,11.158625082861287,939
baseline,t+3,92.52223907968619,7.443382363355048,9.618848116052472,939
baseline,t+5,191.08820149550823,10.653806170221193,13.823465610891802,939
mohamed_v1,t+1,34.69633160311521,4.555714694062383,5.890359208326366,939
mohamed_v1,t+3,94.55226506588905,7.556885889754184,9.723798900938307,939
mohamed_v1,t+5,125.60858986679727,8.701885737110276,11.207523806211489,939
mohamed_v2,t+1,25.873384162406715,3.891869626704689,5.086588656693866,939
mohamed_v2,t+3,81.30379957191094,7.228046609471579,9.016861958126615,939
mohamed_v2,t+5,142.80809406066786,9.120417029535245,11.950234058823613,939
mohamed_v3,t+1,27.78046553925129,4.043469360304429,5.270717744221492,939
mohamed_v3,t+3,106.71983251513733,8.256675743959697,10.33052914981306,939
mohamed_v3,t+5,157.94122756849472,10.093642474905435,12.567467030730366,939
