epoch,train_loss,val_loss,seconds
1,0.007185023686200421,0.0008618201349870809,3.11431622505188
2,0.001871377447357518,0.0007282515309014272,4.112264394760132
3,0.001476141017766029,0.0008939625200304901,3.3900575637817383
4,0.0013203787571626918,0.0009908062730069457,3.68462872505188
5,0.0011663069754822683,0.000700906461400048,3.394562005996704
6,0.001073933256857008,0.0009638541189199146,3.186689615249634
7,0.0010912779823151841,0.0009237607593637272,3.3813059329986572
8,0.0011231171101153705,0.0009320168313990058,3.333895444869995
9,0.0010832969208919012,0.0007197610030991686,3.4092354774475098
10,0.0009500384756308622,0.0006529668654430725,3.3942487239837646
11,0.0009507875350360002,0.0006887189188279796,3.3061258792877197
12,0.0009355705968537979,0.0007109745839054668,3.344788074493408
13,0.0009695545530784886,0.0006311135366559029,3.5806643962860107
14,0.0009093877253053736,0.000650905903583355,3.3696794509887695
15,0.0009158159409432084,0.0006818564161549649,3.3775675296783447
16,0.0009682127088570423,0.0006175917054280591,3.9430317878723145
17,0.0008740457361293394,0.0006057730738136794,3.347846031188965
18,0.0008924952152517513,0.000768144052176443,3.3716423511505127
19,0.0008842063091683328,0.0011296887540832273,3.2580368518829346
20,0.001053887463502959,0.0008459723156295155,3.369680881500244
21,0.000910952811728664,0.0007496257344076127,3.4050676822662354
22,0.0009258414603246512,0.0007099682873328269,3.441056966781616
23,0.0008753171390555362,0.0007631506932941824,3.2040109634399414
24,0.0009373201355136048,0.000702579993747712,3.437802791595459
25,0.0008524434112350881,0.0006374444728959174,3.6217994689941406
